index,movieId,title,genres,year
16300,82152,beastly,drama fantasy romance,2011
16532,83349,"green hornet, the",action comedy crime fantasy thriller imax,2011
16558,83480,season of the witch,adventure drama fantasy,2011
16587,83613,cowboys & aliens,action sci-fi thriller western imax,2011
16628,83910,"dilemma, the",comedy drama,2011
16668,84152,limitless,sci-fi thriller,2011
16700,84273,zeitgeist: moving forward,documentary,2011
16711,84304,what women want (a.k.a. i know a woman's heart),comedy romance,2011
16717,84374,no strings attached,comedy romance,2011
16719,84392,"lincoln lawyer, the",crime drama thriller,2011
16720,84395,"rite, the",drama horror thriller,2011
16722,84414,all-star superman,action adventure animation sci-fi,2011
16760,84557,from prada to nada,comedy romance,2011
16765,84601,unknown,drama mystery thriller,2011
16766,84613,sanctum,action adventure drama thriller imax,2011
16767,84615,cedar rapids,comedy,2011
16770,84637,gnomeo & juliet,adventure animation children comedy fantasy romance,2011
16799,84772,paul,adventure comedy sci-fi,2011
16832,84942,drive angry,action fantasy thriller,2011
16833,84944,rango,action adventure animation children comedy western,2011
16835,84950,take me home tonight,comedy drama,2011
16837,84954,"adjustment bureau, the",romance sci-fi thriller,2011
16856,85020,"mechanic, the",action drama thriller,2011
16857,85022,hall pass,comedy,2011
16858,85025,"eagle, the",adventure drama,2011
16859,85056,i am number four,action sci-fi thriller imax,2011
16865,85131,battle: los angeles,action sci-fi war,2011
16879,85213,"sunset limited, the",drama,2011
16884,85261,mars needs moms,action adventure animation children comedy sci-fi imax,2011
16914,85367,just go with it,comedy romance,2011
16923,85397,red riding hood,fantasy horror mystery thriller,2011
16924,85399,"big mommas: like father, like son",comedy,2011
16929,85414,source code,action drama mystery sci-fi thriller,2011
16930,85438,jane eyre,drama romance,2011
16938,85510,sucker punch,action fantasy thriller imax,2011
16949,85565,chalet girl,comedy romance,2011
16960,85624,bohemian eyes (boheemi elää - matti pellonpää),documentary,2011
16987,85796,hobo with a shotgun,action adventure crime thriller,2011
16991,85881,win win,comedy drama,2011
17010,86014,diary of a wimpy kid: rodrick rules,comedy,2011
17016,86059,hop,animation children comedy,2011
17045,86190,hanna,action adventure mystery thriller,2011
17062,86293,arthur,comedy,2011
17063,86295,scream 4,comedy horror mystery thriller,2011
17064,86298,rio,adventure animation children comedy,2011
17072,86320,melancholia,drama sci-fi,2011
17074,86332,thor,action adventure drama fantasy imax,2011
17080,86355,atlas shrugged: part 1,drama mystery sci-fi,2011
17090,86410,"resident, the",drama horror thriller,2011
17091,86412,that's what i am,children comedy,2011
17111,86487,mildred pierce,drama,2011
17131,86548,water for elephants,drama romance,2011
17136,86574,foo fighters: back and forth,documentary musical,2011
17141,86593,african cats,adventure documentary,2011
17148,86628,kill the irishman,action crime,2011
17152,86644,"fast five (fast and the furious 5, the)",action crime drama thriller imax,2011
17201,86815,soul surfer,action drama,2011
17202,86817,something borrowed,comedy drama romance,2011
17206,86833,bridesmaids,comedy,2011
17207,86835,priest,action horror sci-fi thriller,2011
17214,86852,"beaver, the",drama,2011
17223,86880,pirates of the caribbean: on stranger tides,action adventure fantasy imax,2011
17224,86882,midnight in paris,comedy fantasy romance,2011
17225,86884,"kid with a bike, the (le gamin au vélo)",drama,2011
17229,86898,"tree of life, the",drama,2011
17235,86911,"hangover part ii, the",comedy,2011
17241,86943,fly away,drama,2011
17257,87004,pina,documentary musical,2011
17263,87028,"roommate, the",drama thriller,2011
17294,87115,"speed of thought, the",sci-fi thriller,2011
17304,87192,attack the block,action comedy sci-fi,2011
17307,87205,"tunnel, the",drama horror thriller,2011
17313,87222,kung fu panda 2,action adventure animation children comedy imax,2011
17317,87232,x-men: first class,action adventure sci-fi thriller war,2011
17326,87268,"nightmare in las cruces, a",documentary,2011
17335,87300,eyes of the mothman,documentary,2011
17338,87306,super 8,mystery sci-fi thriller imax,2011
17373,87430,green lantern,action adventure sci-fi,2011
17381,87469,cinema verite,drama,2011
17383,87483,mr. popper's penguins,comedy,2011
17384,87485,bad teacher,comedy,2011
17393,87520,transformers: dark of the moon,action adventure sci-fi war imax,2011
17394,87522,larry crowne,comedy drama romance,2011
17396,87529,your highness,action adventure comedy fantasy,2011
17405,87568,judy moody and the not bummer summer,children comedy,2011
17412,87608,seconds apart ,horror thriller,2011
17421,87660,too big to fail,drama,2011
17455,87858,"cougars, inc.",comedy drama,2011
17457,87867,zookeeper,comedy,2011
17458,87869,horrible bosses,comedy crime,2011
17461,87876,cars 2,adventure animation children comedy imax,2011
17467,87909,megan is missing,crime drama,2011
17476,87930,page one: inside the new york times,documentary,2011
17487,87975,burn notice: the fall of sam axe,crime drama mystery,2011
17502,88020,200 m.p.h.,action adventure drama,2011
17503,88022,hot coffee,documentary,2011
17519,88065,double dhamaal,comedy crime drama,2011
17520,88067,"happiness is a warm blanket, charlie brown",animation comedy,2011
17521,88069,delhi belly,comedy crime,2011
17532,88108,monte carlo,adventure comedy romance,2011
17537,88125,harry potter and the deathly hallows: part 2,action adventure drama fantasy mystery imax,2011
17538,88127,conan o'brien can't stop,documentary,2011
17539,88129,drive,crime drama film-noir thriller,2011
17543,88138,snow flower and the secret fan,drama,2011
17544,88140,captain america: the first avenger,action adventure sci-fi thriller war,2011
17547,88163,"crazy, stupid, love.",comedy drama romance,2011
17554,88179,one day,drama romance,2011
17555,88181,35 and ticking,romance,2011
17564,88235,"guard, the",comedy crime,2011
17565,88237,griff the invisible,comedy drama romance,2011
17566,88248,quarantine 2: terminal,horror mystery sci-fi,2011
17569,88267,winnie the pooh,animation children comedy,2011
17571,88272,"woman, the",horror,2011
17579,88301,beverly hills chihuahua 2,children comedy,2011
17596,88349,almighty thor,adventure fantasy,2011
17598,88356,"smurfs, the",animation children comedy,2011
17606,88398,"undefeated, the",documentary,2011
17608,88405,friends with benefits,comedy romance,2011
17634,88515,blitz,action crime thriller,2011
17668,88672,our idiot brother,comedy,2011
17671,88678,almanya - welcome to germany (almanya - willkommen in deutschland),comedy drama,2011
17675,88690,twixt,horror thriller,2011
17682,88706,cyberbully,drama,2011
17683,88724,beats rhymes & life: the travels of a tribe called quest,documentary,2011
17688,88744,rise of the planet of the apes,action drama sci-fi thriller,2011
17689,88746,terri,comedy,2011
17699,88785,"change-up, the",comedy,2011
17703,88810,"help, the",drama,2011
17704,88812,30 minutes or less,action comedy crime,2011
17711,88835,glee: the 3d concert movie,documentary musical,2011
17717,88879,gantz,action horror sci-fi,2011
17722,88901,"bulli: cooking in progress, el",documentary,2011
17725,88932,final destination 5,horror thriller imax,2011
17728,88954,"very harold & kumar 3d christmas, a",comedy,2011
17742,89002,spy kids: all the time in the world in 4d,action adventure children comedy sci-fi,2011
17752,89030,fright night,comedy horror,2011
17753,89039,another earth,drama romance sci-fi,2011
17764,89074,"greatest movie ever sold, the (pom wonderful presents: the greatest movie ever sold)",documentary,2011
17766,89085,"debt, the",drama thriller,2011
17767,89087,colombiana,action adventure drama thriller,2011
17768,89090,bill cunningham new york,documentary,2011
17777,89118,"skin i live in, the (la piel que habito)",drama,2011
17788,89190,conan the barbarian,action adventure fantasy,2011
17790,89194,prom,comedy drama,2011
17791,89203,magic trip,documentary,2011
17804,89260,project nim,documentary,2011
17814,89302,page eight,drama thriller,2011
17815,89305,"inbetweeners movie, the",adventure comedy,2011
17819,89321,"future, the",drama,2011
17824,89337,"interrupters, the",documentary,2011
17826,89343,red state,action crime horror thriller,2011
17831,89356,chinese take-out (chinese take-away) (un cuento chino),comedy,2011
17834,89369,"better life, a",drama,2011
17836,89373,ceremony,comedy,2011
17837,89375,sympathy for delicious,drama,2011
17839,89386,pearl jam twenty,documentary musical,2011
17840,89388,i don't know how she does it,comedy,2011
17847,89427,shark night 3d,horror thriller,2011
17849,89470,contagion,sci-fi thriller imax,2011
17850,89472,we have a pope (habemus papam),drama,2011
17853,89480,sleeping beauty,drama,2011
17856,89490,straw dogs,thriller,2011
17857,89492,moneyball,drama,2011
17865,89535,"havre, le",comedy drama,2011
17867,89545,x,thriller,2011
17870,89554,zindagi na milegi dobara,adventure comedy drama romance,2011
17871,89570,restless,drama,2011
17875,89586,phineas and ferb the movie: across the 2nd dimension,adventure animation children,2011
17893,89650,ironclad,action adventure,2011
17895,89662,russell peters: the green card tour - live from the o2 arena,comedy documentary,2011
17908,89714,black butterflies,drama,2011
17914,89745,"avengers, the",action adventure sci-fi imax,2012
17916,89753,tinker tailor soldier spy,drama film-noir thriller,2011
17917,89759,"separation, a (jodaeiye nader az simin)",drama,2011
17918,89761,"dangerous method, a",drama thriller,2011
17923,89774,warrior,drama,2011
17930,89804,"ides of march, the",drama,2011
17936,89837,kill list,horror mystery thriller,2011
17937,89840,killer elite,action thriller,2011
17939,89846,bobby fischer against the world,documentary,2011
17942,89862,bellflower,action drama romance,2011
17943,89864,50/50,comedy drama,2011
17949,89896,"turin horse, the (a torinói ló)",drama,2011
17950,89898,generation p,comedy drama sci-fi,2011
17951,89900,once upon a time in anatolia (bir zamanlar anadolu'da),drama,2011
17952,89904,the artist,comedy drama romance,2011
17958,89930,superheroes,action comedy documentary drama,2011
17963,89945,blinkytm,horror sci-fi,2011
17964,89961,play,crime drama,2011
17978,89997,circumstance,drama,2011
17980,90005,ticking clock,action crime mystery sci-fi thriller,2011
17992,90057,take shelter,drama,2011
17998,90071,"music never stopped, the",drama,2011
18009,90127,no rest for the wicked,thriller,2011
18011,90154,"caller, the",horror mystery thriller,2011
18015,90183,"captain thunder (capitán trueno y el santo grial, el) (prince killian and the holy grail)",adventure,2011
18030,90249,real steel,action drama sci-fi imax,2011
18038,90266,buck,documentary,2011
18039,90268,hell,horror sci-fi thriller,2011
18041,90273,frozen hell (jäämarssi) ,documentary war,2011
18058,90341,catching hell,documentary,2011
18059,90343,footloose,comedy drama musical,2011
18060,90345,"thing, the",horror mystery sci-fi thriller,2011
18063,90355,"harvest/la cosecha, the",documentary,2011
18064,90357,tyrannosaur,drama,2011
18065,90359,männerherzen... und die ganz ganz große liebe,comedy drama romance,2011
18068,90374,martha marcy may marlene,drama thriller,2011
18069,90376,we need to talk about kevin,drama thriller,2011
18072,90382,"river murders, the",thriller,2011
18075,90403,"three musketeers, the",action adventure,2011
18076,90405,in time,crime sci-fi thriller,2011
18082,90428,margaret,drama,2011
18083,90430,carnage,comedy drama,2011
18085,90434,assassination games,action thriller,2011
18086,90439,margin call,drama thriller,2011
18092,90469,paranormal activity 3,horror,2011
18093,90471,puncture,drama,2011
18094,90474,polisse,crime drama,2011
18095,90476,"little bit of heaven, a",comedy drama romance,2011
18100,90497,bertsolari,documentary,2011
18102,90522,johnny english reborn,adventure comedy thriller,2011
18103,90524,abduction,action drama mystery thriller,2011
18104,90526,beginning of the great revival (a.k.a. the founding of a party),drama imax,2011
18105,90528,this must be the place,crime drama thriller,2011
18106,90531,shame,drama,2011
18125,90576,what's your number?,comedy romance,2011
18126,90578,dream house,drama mystery thriller,2011
18127,90592,how to die in oregon,documentary drama,2011
18131,90600,headhunters (hodejegerne),action crime thriller,2011
18132,90603,batman: year one,action animation crime,2011
18137,90622,campus radio,comedy drama,2011
18138,90624,machine gun preacher,action crime,2011
18139,90630,miss representation,documentary,2011
18142,90645,anonymous,drama,2011
18143,90647,puss in boots,adventure animation comedy fantasy imax,2011
18145,90651,hella w,drama,2011
18147,90662,"veteran, the",action thriller,2011
18161,90717,tower heist,action comedy crime,2011
18162,90719,j. edgar,drama,2011
18164,90738,"double, the",action crime drama mystery thriller,2011
18167,90746,"adventures of tintin, the",action animation mystery imax,2011
18169,90751,"son of no one, the",action crime thriller,2011
18174,90795,"exercice de l'état, l'",drama,2011
18176,90809,tomboy,drama,2011
18190,90863,george harrison: living in the material world,documentary,2011
18191,90866,hugo,children drama mystery,2011
18192,90868,higher ground,drama,2011
18193,90870,trespass,crime drama thriller,2011
18199,90888,immortals,action drama fantasy,2011
18200,90890,jack and jill,comedy,2011
18208,90914,"devil's double, the",action drama,2011
18209,90916,setup (set up),action crime drama,2011
18210,90929,house of tolerance,drama,2011
18211,90931,beats being dead (dreileben - etwas besseres als den tod),drama,2011
18212,90933,"deep blue sea, the",drama romance,2011
18215,90939,11-11-11 (11-11-11: the prophecy),horror thriller,2011
18216,90943,into the abyss,documentary,2011
18218,90947,"oslo, august 31st (oslo, 31. august)",drama,2011
18224,90963,"last mountain, the",documentary,2011
18226,91007,i want to be a soldier,drama,2011
18227,91010,another happy day,drama,2011
18229,91014,shaolin (xin shao lin si),action drama,2011
18233,91035,wuthering heights,drama,2011
18247,91077,"descendants, the",comedy drama,2011
18248,91079,like crazy,drama romance,2011
18249,91094,"muppets, the",children comedy musical,2011
18251,91104,"twilight saga: breaking dawn - part 1, the",adventure drama fantasy romance,2011
18256,91126,war horse,drama war,2011
18257,91128,"rum diary, the",comedy drama thriller,2011
18258,91134,my week with marilyn,drama,2011
18263,91167,"inconvenient tax, an",documentary,2011
18272,91199,weekend,drama romance,2011
18283,91229,enon opetukset,comedy drama,2011
18287,91241,singham,action drama romance,2011
18301,91288,gantz: perfect answer,action mystery sci-fi,2011
18308,91323,"sitter, the",comedy,2011
18309,91325,extremely loud and incredibly close,drama,2011
18318,91360,sing your song,documentary,2011
18320,91371,rampart,action crime drama thriller,2011
18321,91386,happy feet two,animation children comedy imax,2011
18326,91414,arthur christmas,animation children comedy drama,2011
18327,91416,miss bala,action adventure drama thriller,2011
18338,91461,elephant white,action crime thriller,2011
18339,91470,violet & daisy,action drama,2011
18340,91474,flypaper,comedy crime,2011
18341,91483,bullet to the head,action crime film-noir,2012
18342,91485,"expendables 2, the",action adventure,2012
18347,91500,"hunger games, the",action adventure drama sci-fi thriller,2012
18355,91529,"dark knight rises, the",action adventure crime imax,2012
18358,91535,"bourne legacy, the",action adventure drama thriller imax,2012
18360,91540,i melt with you,drama,2011
18361,91542,sherlock holmes: a game of shadows,action adventure comedy crime mystery thriller,2011
18362,91548,life in a day,documentary drama,2011
18366,91560,"funny man, a (dirch)",drama,2011
18370,91571,coriolanus,drama thriller,2011
18371,91573,americano,drama,2011
18378,91597,this is not a film (in film nist),documentary,2011
18380,91601,outside satan (hors satan),drama,2011
18381,91603,"student, the (el estudiante)",drama,2011
18388,91622,young adult,comedy drama,2011
18390,91626,faces in the crowd,crime drama mystery,2011
18391,91628,new year's eve,comedy romance,2011
18392,91630,mission: impossible - ghost protocol,action adventure thriller imax,2011
18395,91653,we bought a zoo,comedy drama,2011
18397,91658,"girl with the dragon tattoo, the",drama thriller,2011
18398,91660,"darkest hour, the",action horror sci-fi thriller,2011
18401,91671,alvin and the chipmunks: chipwrecked,animation comedy,2011
18402,91673,albert nobbs,drama,2011
18405,91688,salvation boulevard,comedy thriller,2011
18406,91690,friends with kids,comedy,2011
18408,91694,intruders,horror thriller,2011
18410,91707,in the land of blood and honey,drama romance war,2011
18424,91755,reagan,documentary,2011
18426,91762,"last lions, the",documentary,2011
18431,91784,girl walks into a bar,comedy drama fantasy,2011
18433,91789,bringing up bobby,comedy,2011
18438,91805,ladies vs. ricky bahl,comedy drama,2011
18439,91808,pariah,drama,2011
18443,91829,newlyweds,drama,2011
18444,91831,"devil inside, the",horror thriller,2012
18445,91834,born to race,action,2011
18446,91840,roadie,comedy drama,2011
18447,91842,contraband,action crime drama thriller,2012
18455,91866,beneath the darkness,thriller,2011
18456,91869,being elmo: a puppeteer's journey,documentary,2011
18458,91873,joyful noise,comedy musical,2012
18462,91886,dolphin tale,children drama,2011
18464,91890,"iron lady, the",drama,2011
18467,91902,elena,drama,2011
18471,91911,"conquest, the (la conquête)",drama,2011
18479,91935,albatross,drama,2011
18480,91937,loosies,comedy drama romance,2012
18482,91952,"mill and the cross, the",drama,2011
18484,91957,cat run,action comedy,2011
18487,91972,"divide, the",thriller,2011
18488,91974,underworld: awakening,action fantasy horror imax,2012
18489,91976,"grey, the",action drama,2012
18490,91978,man on a ledge,crime thriller,2012
18493,91987,"pruitt-igoe myth, the",documentary drama,2011
18501,92008,haywire,action thriller,2011
18502,92010,case départ,comedy,2011
18510,92058,"human centipede ii (full sequence), the",horror,2011
18521,92106,my future boyfriend,comedy romance sci-fi,2011
18523,92120,good bye (bé omid é didar),drama,2011
18524,92122,"loneliest planet, the",thriller,2011
18526,92126,policeman (ha-shoter),drama,2011
18532,92152,"turn me on, dammit! (få meg på, for faen)",comedy,2011
18533,92154,faust,drama,2011
18550,92192,apollo 18,horror sci-fi thriller,2011
18551,92196,crazy horse,documentary,2011
18552,92198,seeking justice,action drama thriller,2011
18555,92206,hostel: part iii ,horror thriller,2011
18563,92234,red tails,action adventure drama war,2012
18564,92236,in darkness,drama,2011
18566,92243,"flowers of war, the (jin líng shí san chai)",drama war,2011
18572,92259,intouchables,comedy drama,2011
18573,92262,declaration of war (la guerre est déclarée),drama,2011
18574,92264,one for the money,action comedy crime,2012
18577,92270,becoming chaz,documentary,2011
18579,92307,w.e.,drama romance,2011
18580,92309,"innkeepers, the",horror thriller,2011
18581,92314,varasto,comedy drama,2011
18584,92335,big miracle,drama romance,2012
18585,92341,collision earth,action sci-fi,2011
18592,92374,yolki 2,comedy,2011
18598,92391,grave encounters,horror,2011
18603,92412,forever yours (ikuisesti sinun),documentary,2011
18606,92420,chronicle,action sci-fi thriller,2012
18607,92422,"woman in black, the",drama horror thriller,2012
18609,92427,woman in love (rubbeldiekatz),comedy,2011
18612,92439,"art of getting by, the",drama romance,2011
18615,92448,bucky larson: born to be a star,comedy,2011
18616,92453,"moine, le (monk, the)",drama mystery thriller,2011
18621,92475,all watched over by machines of loving grace,documentary,2011
18630,92500,"dylan moran: yeah, yeah",comedy,2011
18631,92507,safe house,action crime mystery thriller,2012
18632,92509,"vow, the",drama romance,2012
18633,92511,swamp shark,sci-fi,2011
18640,92535,louis c.k.: live at the beacon theater,comedy,2011
18642,92600,"as luck would have it (chispa de la vida, la)",drama,2011
18643,92606,"black power mixtape 1967-1975, the",documentary,2011
18651,92643,monsieur lazhar,children comedy drama,2011
18657,92665,"for a good time, call...",comedy drama romance,2012
18659,92672,casey jones,action adventure fantasy,2011
18662,92681,journey 2: the mysterious island,action adventure comedy sci-fi imax,2012
18667,92694,perfect sense,drama romance sci-fi,2011
18674,92719,tim and eric's billion dollar movie,comedy,2012
18679,92740,chapiteau-show (shapito-shou),adventure comedy,2011
18681,92749,"sommer der gaukler, der",comedy,2011
18682,92751,kokowääh,comedy,2011
18686,92768,sixpack (pussikaljaelokuva),comedy drama,2011
18687,92781,"city dark, the",documentary,2011
18689,92787,oka!,drama,2011
18690,92789,bombay beach,documentary drama musical,2011
18693,92817,"sorcerer and the white snake, the (bai she chuan shuo)",action fantasy romance,2011
18694,92819,"flying swords of dragon gate, the (long men fei jia)",action adventure imax,2011
18696,92836,knuckle ,documentary,2011
18710,92904,we were here,documentary,2011
18714,92920,"hunter, the",drama,2011
18718,92938,ghost rider: spirit of vengeance,action fantasy thriller,2012
18719,92944,"monster in paris, a (un monstre à paris)",adventure animation children,2011
18722,92951,dos,drama fantasy romance,2011
18732,93014,perifery (härmä),drama,2012
18734,93024,retreat,thriller,2011
18739,93061,october baby,drama,2011
18740,93063,khodorkovsky,documentary drama,2011
18741,93070,ursul,comedy drama,2011
18745,93126,bag of bones,horror,2011
18746,93128,"mozart's sister (nannerl, la soeur de mozart)",drama romance,2011
18747,93132,seven days in utopia,drama,2011
18751,93142,wrong turn 4,action horror thriller,2011
18753,93164,sleep tight (mientras duermes),horror thriller,2011
18755,93172,arena,action thriller,2011
18768,93210,"life of another, the (la vie d'une autre)",comedy drama mystery,2012
18771,93240,children who chase lost voices from deep below (hoshi o ou kodomo) (journey to agartha),animation drama fantasy,2011
18772,93242,gone,drama thriller,2012
18774,93265,courageous,drama,2011
18776,93270,project x,comedy,2012
18777,93272,dr. seuss' the lorax,animation fantasy musical imax,2012
18779,93287,"big year, the",comedy,2011
18783,93297,act of valor,action thriller war,2012
18786,93324,undefeated,documentary,2011
18787,93326,this means war,action comedy romance,2012
18794,93363,john carter,action adventure sci-fi imax,2012
18795,93365,canned dreams (säilöttyjä unelmia),documentary,2012
18802,93404,queen: days of our lives,documentary,2011
18806,93420,"art of flight, the",adventure documentary,2011
18807,93422,starbuck,comedy,2011
18808,93432,forks over knives,documentary,2011
18812,93443,goon,comedy drama,2011
18816,93457,"hidden face, the (la cara oculta)",thriller,2011
18822,93475,"awakening, the",horror thriller,2011
18827,93492,like water,documentary,2011
18829,93498,game change,drama,2012
18831,93502,"ledge, the",drama thriller,2011
18833,93510,21 jump street,action comedy crime,2012
18834,93512,"jeff, who lives at home",comedy drama,2012
18844,93552,blind (beul-la-in-deu),drama horror thriller,2011
18845,93563,lockout,action sci-fi thriller,2012
18848,93572,lucky,comedy crime romance,2011
18849,93574,resurrect dead: the mystery of the toynbee tiles,documentary mystery,2011
18850,93578,"lonely place to die, a",adventure crime thriller,2011
18852,93598,"snowtown (snowtown murders, the)",crime drama thriller,2011
18857,93641,wreckers,drama,2011
18862,93659,verbo,adventure fantasy,2011
18869,93693,casa de mi padre,comedy,2012
18870,93700,corman's world: exploits of a hollywood rebel,documentary,2011
18874,93717,listy do m.,comedy romance,2011
18875,93719,dragon age: redemption,action adventure fantasy,2011
18876,93721,jiro dreams of sushi,documentary,2011
18877,93723,damsels in distress,comedy romance,2011
18883,93740,salmon fishing in the yemen,comedy drama romance,2011
18887,93752,saving face,documentary drama,2012
18889,93764,meeting evil,crime drama mystery thriller,2012
18890,93766,wrath of the titans,action adventure fantasy imax,2012
18891,93768,bending the rules,action drama,2012
18895,93790,detachment,drama,2011
18898,93801,answers to nothing,drama mystery,2011
18899,93803,4:44 last day on earth,drama fantasy sci-fi,2011
18900,93805,iron sky,action comedy sci-fi,2012
18902,93819,absentia,horror,2011
18903,93821,there's something wrong with aunt diane,documentary,2011
18904,93831,american reunion (american pie 4),comedy,2012
18906,93838,the raid: redemption,action crime,2011
18907,93840,"cabin in the woods, the",comedy horror sci-fi thriller,2012
18908,93842,delicacy (la délicatesse),comedy romance,2011
18909,93855,god bless america,comedy drama,2011
18911,93861,"wayshower, the",drama,2011
18917,93894,"unknown woman, the (tuntematon emäntä)",documentary,2011
18926,93921,housefull 2,comedy romance,2012
18927,93923,agent vinod,action,2012
18930,93933,footnote (hearat shulayim),drama,2011
18931,93939,café de flore,drama,2011
18932,93946,l!fe happens,comedy,2012
18936,93954,silent house,horror thriller,2011
18940,93980,"three stooges, the",comedy,2012
18941,93982,"raven, the",mystery thriller,2012
18944,94005,"ballad of nessie, the",animation children,2011
18945,94011,"big bang, the",action thriller,2011
18946,94015,mirror mirror,adventure comedy fantasy,2012
18947,94018,battleship,action sci-fi thriller imax,2012
18949,94024,louis theroux: the most hated family in america in crisis,documentary,2011
18951,94041,appropriate adult,drama,2011
18952,94044,terraferma,drama,2011
18954,94068,goodbye first love,drama romance,2011
